matricula,provincia,hex,inicio,fin,dur_min,origen,destino,origen_code,destino_code,origen_lat,origen_lon,destino_lat,destino_lon,alt_max_ft,puntos
LQ-BFS,Santiago del Estero,E02193,2026-06-01 17:52,2026-06-01 18:41,48,GHU (Gualeguaychu) · estimado,SDE (Santiago del Estero) · estimado,SAAG,SANE,-33.005567,-58.612833,-27.765556335399996,-64.3099975586,43000,48
LQ-BFS,Santiago del Estero,E02193,2026-06-02 08:16,2026-06-02 09:21,65,SDE (Santiago del Estero) · estimado,AEP (Buenos Aires) · estimado,SANE,SABE,-27.765556335399996,-64.3099975586,-34.559419,-58.415536,41000,64
LV-BXD,Salta,E02604,2026-06-02 08:34,2026-06-02 09:46,72,SDE (Santiago del Estero) · estimado,(fuera de cobertura),SANE,,-27.765556335399996,-64.3099975586,-34.560952,-58.414221,45000,66
LV-BXD,Salta,E02604,2026-06-02 10:38,2026-06-02 11:49,70,AEP (Buenos Aires),(fuera de cobertura),SABE,,-34.559419,-58.415536,-28.066996,-63.375226,43000,70
LV-BXD,Salta,E02604,2026-06-02 15:44,2026-06-02 16:53,68,SDE (Santiago del Estero) · estimado,EPA (El Palomar) · estimado,SANE,SADP,-27.765556335399996,-64.3099975586,-34.6099,-58.6126,41000,68
LV-CIP,Neuquén,E03250,2026-06-02 16:34,2026-06-02 16:36,2,AEP (Buenos Aires) · estimado,(fuera de cobertura),SABE,,-34.559419,-58.415536,-34.501848,-58.563133,675,3
LV-KFB,Río Negro,E0B182,2026-06-02 16:37,2026-06-02 17:29,52,AEP (Buenos Aires) · estimado,(fuera de cobertura),SABE,,-34.559419,-58.415536,-29.148331,-56.928143,37000,51
LV-BXD,Salta,E02604,2026-06-02 17:46,2026-06-02 18:56,70,EPA (El Palomar) · estimado,(fuera de cobertura),SADP,,-34.6099,-58.6126,-27.713791,-63.610684,43000,70
LV-KFB,Río Negro,E0B182,2026-06-02 19:00,2026-06-02 20:02,62,AOL (Paso de los Libres) · estimado,(fuera de cobertura),SARL,,-29.6894,-57.1521,-34.454166,-58.581764,34025,59
LV-JWN,Catamarca,E0A5CE,2026-06-03 07:41,2026-06-03 08:51,69,AEP (Buenos Aires),CTC (Catamarca) · estimado,SABE,SANC,-34.559419,-58.415536,-28.593117,-65.7512,38000,66
LV-BXD,Salta,E02604,2026-06-03 12:58,2026-06-03 14:15,77,SDE (Santiago del Estero) · estimado,(fuera de cobertura),SANE,,-27.765556335399996,-64.3099975586,-34.558331,-58.41739,45000,71
LV-AXO,Neuquén,E0160F,2026-06-03 13:12,2026-06-03 13:15,3,SADF (San Fernando),EPA (El Palomar) · estimado,SADF,SADP,-34.4532,-58.5896,-34.6099,-58.6126,2675,3
LV-BXD,Salta,E02604,2026-06-03 17:59,2026-06-03 19:27,89,AEP (Buenos Aires),(fuera de cobertura),SABE,,-34.559419,-58.415536,-27.610519,-63.562541,45000,85
LQ-CPS,Santiago del Estero,E03413,2026-06-04 11:30,2026-06-04 11:37,7,IRJ (La Rioja) · estimado,(fuera de cobertura),SANL,,-29.381599,-66.795799,-28.873094,-65.608628,41000,5
LQ-HBQ,Córdoba,E08091,2026-06-04 11:37,2026-06-04 12:40,62,AEP (Buenos Aires) · estimado,(fuera de cobertura),SABE,,-34.559419,-58.415536,-31.316214,-64.208345,38000,53
LV-BEU,Tucumán,E02155,2026-06-04 12:21,2026-06-04 12:30,9,SADF (San Fernando),(fuera de cobertura),SADF,,-34.4532,-58.5896,-34.097021,-58.817721,17300,7
